"filename", "language", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\ndlov\Documents\strava-app\src\services\UserPostsManager.js", "JavaScript", 0, 0, 0, 0, 0, 56, 0, 0, 14, 70
"c:\Users\ndlov\Documents\strava-app\src\services\authSignInWithEmailAndPassword.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 1, 5, 22
"c:\Users\ndlov\Documents\strava-app\src\services\authSignInWithGoogle.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 4, 7, 35
"c:\Users\ndlov\Documents\strava-app\src\services\authSignUpWithEmailAndPassword.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"c:\Users\ndlov\Documents\strava-app\src\services\authSignUpWithGoogle.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 5, 9, 38
"c:\Users\ndlov\Documents\strava-app\src\services\compressImage.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 3, 5, 23
"c:\Users\ndlov\Documents\strava-app\src\services\stravaApi.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 4, 2, 20
"c:\Users\ndlov\Documents\strava-app\src\styles\ActivityDetailsPage.css", "CSS", 0, 173, 0, 0, 0, 0, 0, 0, 38, 211
"c:\Users\ndlov\Documents\strava-app\src\styles\Challenges.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\DashboardPages\Heatmaps.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\DashboardPages\Home.css", "CSS", 0, 63, 0, 0, 0, 0, 0, 3, 13, 79
"c:\Users\ndlov\Documents\strava-app\src\styles\DashboardPages\MyGoals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\DashboardPages\MyRoutes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\DashboardPages\MySegments.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\Apps.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\AthleteSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\Clubs.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\CreateRoute.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\Explore.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\SegmentExplore.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\SegmentSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\ExplorePages\SubscriberPerks.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\LogInSignUp.css", "CSS", 0, 109, 0, 0, 0, 0, 0, 0, 15, 124
"c:\Users\ndlov\Documents\strava-app\src\styles\PostDetailsPage.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\FitnessAndFreshness.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\MyActivities.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\PowerCurve.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\Training.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\TrainingCalendar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\TrainingLog.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\TrainingPages\TrainingPlans.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserPages\FindFriends.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserPages\LogOut.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserPages\MyProfile.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ndlov\Documents\strava-app\src\styles\UserPages\Settings.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ndlov\Documents\strava-app\src\styles\UserUploadPages\CreatePost.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserUploadPages\Device.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserUploadPages\File.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\UserUploadPages\Manual.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ndlov\Documents\strava-app\src\styles\UserUploadPages\Mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ndlov\Documents\strava-app\src\styles\common\buttons.css", "CSS", 0, 278, 0, 0, 0, 0, 0, 8, 41, 327
"Total", "-", 18804, 2300, 58, 20, 7208, 311, 36, 346, 1205, 30288
